Coin Name,Symbol,Launch Date,Token Address,Current Price (USD),Market Cap (USD),Trading Volume (24h),Circulating Supply,Total Supply,Price Change (24h),All-Time High (Price),All-Time Low (Price),Number of Holders,Transactions Count,Token Liquidity (USD),Returns (%)
PepeSol,$GIGGLE,2023-03-14,addr3,0.0042,338945,37982,173668039,248490446,-1.92,0.0026,0.0025,10746,47481,11970,4.0
SolDog,$PEPE,2022-06-25,addr714,0.0049,281521,28485,155228773,250987232,0.57,0.0019,0.0034,6801,48629,45610,-44.12
MemeFlare,$LOL,2022-09-10,addr856,0.0088,218116,46035,84241930,54794499,-1.74,0.0152,0.0011,11798,27307,84585,1281.82
DogeSun,$MOONWAG,2023-02-12,addr184,0.0002,444878,36737,163369494,227492129,-1.31,0.0172,0.0066,12548,44237,18499,160.61
LOLToken,$INUSPARK,2023-02-12,addr352,0.0085,219456,19283,171361207,248182087,9.31,0.0045,0.0093,8464,5936,30564,-51.61
SolCheems,$DOGESUN,2023-05-20,addr141,0.0014,373574,22284,62080382,146499424,6.35,0.0147,0.0023,7820,29280,20311,539.13
ShibaLight,$CHAD,2023-09-05,addr140,0.0024,158081,9643,184834409,210754795,13.61,0.0156,0.0082,7778,41494,85724,90.24
SolDog,$PEPE,2022-11-20,addr798,0.0014,430006,31703,65190931,204208503,5.86,0.0067,0.0064,11650,8126,38098,4.69
JokeSol,$MOONWAG,2022-12-15,addr519,0.0078,322012,31368,93909018,278351951,7.2,0.0116,0.0047,13173,23529,86728,146.81
JokeSol,$MEOW,2022-06-25,addr782,0.0077,203602,30241,95463679,239840674,17.07,0.0087,0.0061,4306,41850,58767,42.62
GiggleToken,$JOKESOL,2023-06-15,addr129,0.0043,367710,47018,74092690,291887357,7.02,0.0198,0.007,8499,43486,93372,182.86
PepeSol,$INUSPARK,2023-05-20,addr239,0.0049,451491,16130,140259137,151695502,9.73,0.0181,0.0049,5191,30632,44752,269.39
MeowInu,$PEPE,2022-12-25,addr434,0.0083,417922,19731,143408618,226755468,-3.29,0.0023,0.0005,5232,17359,85469,360.0
ShibaSol,$SHIBA,2023-08-20,addr571,0.0055,383790,15641,55171838,225398571,11.24,0.0198,0.0094,11352,21362,26266,110.64
FlokiSol,$GIGGLE,2023-03-14,addr504,0.0071,171083,24817,91162083,238455677,15.91,0.0076,0.0002,6916,13411,92270,3700.0
PepeSol,$MOONPUG,2023-04-10,addr191,0.0099,146955,39908,51102221,61071624,0.95,0.007,0.0088,7938,9845,78747,-20.45
WoofSol,$SOLDOG,2023-09-05,addr485,0.0022,205909,48460,155155426,128046430,4.99,0.0077,0.0014,9477,31906,57056,450.0
InuSpark,$MOONWAG,2023-05-20,addr767,0.0057,351681,37192,119132799,116984180,9.31,0.0042,0.0022,7693,42292,93272,90.91
SolCheems,$SWOLEDOGE,2022-08-15,addr10,0.0064,487259,21582,177864310,299257112,-0.51,0.002,0.0027,9035,23300,95359,-25.93
PepeMoon,$DOGESUN,2023-08-01,addr561,0.0029,385036,25623,115250862,245435281,-5.19,0.0151,0.005,14925,22291,67756,202.0
MoonPug,$MEMEFLARE,2023-02-12,addr294,0.0019,110194,29795,156898622,92617433,-8.38,0.0149,0.0087,7386,7873,38535,71.26
PepeMoon,$GIGGLE,2023-06-15,addr424,0.003,305005,41701,119959177,156283689,17.95,0.0067,0.0082,10890,5698,67895,-18.29
PepeMoon,$MOONPUG,2023-06-15,addr151,0.0029,281372,26035,199102330,181594246,2.51,0.0165,0.0022,12593,25813,53153,650.0
FlokiSol,$LOL,2023-07-10,addr573,0.0088,289711,37034,193310856,67534800,-5.28,0.01,0.0071,9966,39177,32022,40.85
ShibaSol,$SOLDOG,2022-06-25,addr921,0.0008,105731,33444,82502494,294865004,-0.77,0.0138,0.0016,14427,39388,45512,762.5
GiggleToken,$SHIBALIGHT,2023-01-18,addr713,0.002,162835,23173,92160071,277544141,8.49,0.0104,0.0031,9342,42501,41275,235.48
LOLToken,$CHAD,2022-12-25,addr783,0.0057,232242,21114,165671915,276387529,-6.1,0.0167,0.0064,4090,14815,37631,160.94
MoonPug,$SHIBA,2023-06-15,addr890,0.001,311348,24919,180989044,294768237,6.1,0.015,0.0014,8353,5035,15900,971.43
SolCheems,$SHIBALIGHT,2023-02-12,addr66,0.0095,252738,13720,190300703,106912773,-5.77,0.0011,0.0036,8065,23416,48480,-69.44
InuSpark,$JOKESOL,2022-12-15,addr269,0.0043,275594,27993,176781075,218615823,14.29,0.0174,0.0066,5720,39784,39425,163.64
PepeSol,$DOGESUN,2023-02-12,addr840,0.0089,476972,31024,78207982,54778293,18.89,0.0132,0.0023,4103,46828,91688,473.91
MoonWag,$MOONWAG,2023-07-10,addr802,0.0038,171431,5115,181019149,130802583,-9.01,0.0046,0.003,10694,12689,92628,53.33
LOLToken,$GIGGLE,2021-04-05,addr634,0.0037,449618,9538,173275100,264606871,19.81,0.0163,0.0006,13587,16318,23859,2616.67
FlokiSol,$JOKESOL,2021-04-05,addr903,0.0054,472391,12867,133849844,171810011,6.18,0.0148,0.004,8794,29878,93409,270.0
MeowInu,$MOONWAG,2022-09-10,addr759,0.0019,296600,34707,133762204,246192886,11.29,0.0079,0.0065,13960,48542,48601,21.54
SwoleDoge,$SWOLEDOGE,2023-02-12,addr254,0.0081,497855,46160,52476425,134691375,9.6,0.0085,0.0031,13193,44813,39394,174.19
ShibaLight,$SHIBALIGHT,2022-11-20,addr409,0.0032,91665,25687,76936855,199490734,1.05,0.0151,0.0033,6938,41552,78317,357.58
GiggleToken,$MOONPUG,2023-01-18,addr847,0.0022,135382,7490,143143830,269155544,16.82,0.0142,0.0008,7774,36184,77585,1675.0
MoonPug,$MEOW,2023-08-01,addr118,0.0046,204312,49141,150434145,108335405,16.66,0.0159,0.0091,12617,21805,40384,74.73
ShibaSol,$LOL,2023-07-10,addr153,0.005,396455,41039,112631030,297236429,3.15,0.0043,0.0044,12924,40093,71610,-2.27
MoonWag,$PUGINU,2021-04-05,addr676,0.0054,328903,38699,60450572,196554982,10.15,0.0055,0.0067,10515,24558,85106,-17.91
InuSpark,$SWOLEDOGE,2023-01-18,addr999,0.0059,248955,44718,140647089,291944891,4.32,0.0082,0.0097,8505,33342,58136,-15.46
PepeMoon,$FLOKI,2023-03-30,addr567,0.0039,313161,21937,135099996,209558347,2.47,0.0041,0.0019,14911,43500,66724,115.79
PepeSol,$PEPE,2022-09-10,addr458,0.0005,486766,8600,199761694,172100722,8.68,0.0046,0.0067,4247,29085,91020,-31.34
ChadCoin,$WOOFSOL,2023-07-10,addr945,0.0045,290209,27815,113783676,118395250,12.9,0.0053,0.0025,13240,27079,91363,112.0
MoonPug,$SHIBA,2023-09-05,addr88,0.0048,219244,9104,138437963,94264162,2.33,0.0097,0.0099,6968,16227,16213,-2.02
LOLToken,$LOL,2022-04-22,addr509,0.0085,165504,41158,60731085,168419447,-8.79,0.0164,0.0001,8125,5088,37553,16300.0
InuSpark,$MEMEFLARE,2023-04-10,addr69,0.0047,226037,10942,108457328,146245604,-2.43,0.0157,0.0009,7851,11090,48720,1644.44
PepeSol,$PEPEMOON,2023-02-12,addr340,0.0093,318166,33220,71420313,74775999,14.16,0.0195,0.0041,3143,21927,49160,375.61
ChadCoin,$CHAD,2021-04-05,addr328,0.005,99780,32174,78855081,289085395,-9.04,0.0186,0.0021,9125,46151,68223,785.71
FlokiSol,$FLOKI,2022-11-20,addr803,0.0093,289749,46133,180850722,73487005,17.7,0.0135,0.0005,9742,32928,37425,2600.0
PugInu,$SWOLEDOGE,2022-11-20,addr98,0.0032,390680,21189,157041453,265229187,11.67,0.0018,0.0029,10951,42540,36303,-37.93
JokeSol,$PEPE,2023-01-05,addr867,0.0075,190278,15035,148937303,63158362,19.5,0.0087,0.0034,13721,17936,48005,155.88
ShibaLight,$CHEEMS,2023-04-10,addr331,0.0093,163374,34524,126719856,281505322,6.96,0.0188,0.0098,6027,34956,96922,91.84
PepeMoon,$SHIBA,2023-03-14,addr625,0.0038,393695,43001,133416258,127761841,4.12,0.0197,0.0098,4470,31867,56254,101.02
MeowInu,$SHIBA,2023-06-15,addr207,0.0053,103343,18355,160058393,52323161,-4.19,0.0132,0.0051,5460,39620,80697,158.82
InuSpark,$PEPE,2023-01-05,addr376,0.0022,330070,11253,180840202,168812258,-3.26,0.0025,0.0028,4454,39460,44322,-10.71
SolDog,$SOLDOG,2023-03-30,addr295,0.0029,318603,43736,66563573,135690578,10.04,0.0131,0.0014,11129,9222,28906,835.71
MoonWag,$SWOLEDOGE,2023-07-10,addr464,0.0023,460814,45931,121306379,199661862,-9.67,0.0164,0.0006,4620,17905,68281,2633.33
JokeSol,$FLOKI,2023-01-05,addr982,0.0023,119542,32131,162200599,106141580,-9.75,0.0125,0.0083,3111,14456,58893,50.6
MemeFlare,$PEPE,2023-01-05,addr55,0.0046,325135,13878,64898761,229339038,4.31,0.0137,0.0016,7195,25470,48344,756.25
ChadCoin,$SHIBALIGHT,2022-12-25,addr126,0.0042,249552,11058,193130417,84934959,6.44,0.0023,0.0076,5126,37605,99620,-69.74
ShibaLight,$GIGGLE,2023-06-15,addr522,0.0021,401946,37226,196203986,139221188,7.12,0.0054,0.0064,10085,29801,77950,-15.62
InuSpark,$CHEEMS,2022-04-22,addr653,0.0016,102597,42993,102038521,250194878,-0.27,0.0158,0.0008,3704,34064,52829,1875.0
MemeFlare,$SWOLEDOGE,2022-12-15,addr41,0.0004,204332,17931,144361294,111519324,3.49,0.0181,0.0078,7586,25224,46506,132.05
DogeSun,$JOKESOL,2022-12-15,addr510,0.0049,255564,32707,197042042,288772333,-0.48,0.0137,0.0058,6163,11657,35598,136.21
PepeSol,$MEOW,2022-12-25,addr44,0.005,371688,21685,145388531,90817318,0.73,0.014,0.0059,3193,26269,99538,137.29
MoonPug,$SHIBALIGHT,2023-04-10,addr350,0.0069,436512,42409,52961192,142749974,-0.98,0.0081,0.0029,14843,22714,60129,179.31
PepeSol,$FLOKI,2022-04-22,addr820,0.0027,286235,26175,137516378,122476669,7.9,0.0065,0.0014,4245,27062,67282,364.29
MoonWag,$INUSPARK,2023-03-14,addr446,0.0094,137595,11241,142375104,127021005,14.53,0.0191,0.0085,3657,36650,39498,124.71
LOLToken,$GIGGLE,2023-09-05,addr266,0.0049,63278,5674,158359292,218081419,15.24,0.0061,0.0098,13069,19223,45777,-37.76
GiggleToken,$FLOKI,2022-08-15,addr527,0.0081,100979,19602,168445761,286393101,11.56,0.0101,0.0069,11130,35797,97264,46.38
FlokiSol,$PUGINU,2023-06-15,addr620,0.0031,71738,5560,193314691,298220680,3.59,0.0156,0.0096,11337,47912,61160,62.5
LOLToken,$MEMEFLARE,2021-04-05,addr406,0.0051,125267,12560,170539591,186728498,-3.62,0.0199,0.0046,5394,7668,71848,332.61
GiggleToken,$DOGESUN,2023-03-14,addr780,0.0014,492230,34232,152523168,148545285,-2.85,0.0028,0.0081,6794,28381,99631,-65.43
MoonWag,$MEOW,2022-12-25,addr440,0.0045,72494,47168,79054459,87095528,17.29,0.0123,0.0089,4459,38481,15965,38.2
ShibaLight,$PUGINU,2022-12-15,addr927,0.0029,402844,26464,80635821,87849238,8.86,0.0171,0.0075,4911,18894,89637,128.0
DogeSun,$LOL,2022-12-25,addr512,0.0099,427528,19931,109639562,217874913,18.53,0.0124,0.001,7521,17599,20235,1140.0
WoofSol,$SHIBA,2022-11-20,addr790,0.0005,361759,42519,68373622,172390775,-2.79,0.0137,0.0051,12838,6548,45297,168.63
PepeSol,$SWOLEDOGE,2022-12-15,addr519,0.0069,393775,7837,118544130,87393364,10.34,0.0138,0.0027,8555,30919,25824,411.11
FlokiSol,$SWOLEDOGE,2023-09-05,addr799,0.0003,451933,19948,121041555,121040676,16.49,0.0031,0.0042,8753,16727,62599,-26.19
LOLToken,$FLOKI,2022-09-10,addr218,0.0082,434420,26123,132634034,265989270,-3.78,0.0163,0.004,13975,16873,83996,307.5
SolDog,$PEPEMOON,2023-03-30,addr123,0.0018,446767,10228,107526991,152021869,18.75,0.0086,0.004,14408,7058,84690,115.0
ShibaSol,$CHEEMS,2022-04-22,addr335,0.0064,193086,6480,126010877,216518440,-5.34,0.0162,0.002,8001,44896,11414,710.0
ChadCoin,$SHIBALIGHT,2023-05-20,addr684,0.0033,408188,9581,118652554,77380980,4.83,0.0108,0.0055,8293,34204,53953,96.36
ChadCoin,$DOGESUN,2022-09-10,addr769,0.0074,441847,8764,183727416,54403542,7.63,0.0107,0.0021,3795,36692,33656,409.52
WoofSol,$MEMEFLARE,2022-12-25,addr597,0.0051,403830,32957,77712383,89156953,12.84,0.0089,0.0041,4887,22529,60763,117.07
GiggleToken,$MOONWAG,2023-03-14,addr277,0.0025,483425,14660,160442170,231477269,16.64,0.0198,0.0017,8685,38642,67436,1064.71
SolCheems,$JOKESOL,2023-07-10,addr698,0.0037,292275,33710,185776517,218432911,15.58,0.0092,0.0026,9240,19164,73824,253.85
ShibaSol,$CHAD,2022-09-10,addr761,0.0081,73415,28595,131137258,291677464,-2.44,0.0188,0.0027,5844,27417,31035,596.3
ShibaSol,$PUGINU,2023-08-01,addr314,0.0085,486007,48313,193606540,60419518,-9.33,0.0129,0.0077,13245,25613,68752,67.53
MeowInu,$CHAD,2022-06-25,addr998,0.0058,136435,8645,188997751,134771649,15.03,0.0042,0.0018,4810,14451,24474,133.33
ChadCoin,$MOONWAG,2023-03-30,addr93,0.001,77905,38440,51031280,202210091,-4.33,0.0083,0.0096,12879,24788,75522,-13.54
PepeSol,$FLOKI,2023-05-20,addr576,0.0087,136755,24833,135546233,225316146,-9.01,0.0087,0.0028,10049,20104,73471,210.71
MoonPug,$MEMEFLARE,2022-09-10,addr914,0.0005,154671,46624,190548638,94434982,-2.61,0.0052,0.0099,9744,39300,31079,-47.47
SwoleDoge,$GIGGLE,2022-11-20,addr198,0.0003,283662,6788,93619812,192729686,16.62,0.0015,0.0038,8008,44363,22996,-60.53
MoonPug,$MOONWAG,2021-04-05,addr422,0.0088,491275,44690,73738254,181536795,-7.97,0.0074,0.0099,8452,38345,75510,-25.25
FlokiSol,$INUSPARK,2023-05-20,addr696,0.0066,234109,8349,118345469,223112163,-9.83,0.0118,0.0002,7996,14687,41441,5800.0
LOLToken,$MEOW,2023-04-10,addr320,0.0064,311350,17616,178273312,99329702,10.78,0.0113,0.0007,5812,34364,19389,1514.29
MemeFlare,$MEOW,2023-01-05,addr542,0.0041,412123,24976,142791791,121819050,-9.31,0.015,0.0056,12334,16046,27442,167.86
PugInu,$SHIBALIGHT,2022-12-25,addr673,0.0044,437453,28275,67964048,63900579,4.6,0.0119,0.0009,8755,47201,10249,1222.22
JokeSol,$LOL,2023-01-05,addr506,0.003,272043,7781,88908846,288744311,8.77,0.0068,0.0025,12223,18020,83454,172.0
MoonWag,$SOLDOG,2023-07-10,addr594,0.0064,268496,42522,127027094,114859493,5.05,0.0038,0.0047,12995,40349,94413,-19.15
ShibaLight,$PEPEMOON,2023-06-15,addr997,0.0037,489768,12881,62439175,110966926,1.17,0.0067,0.0039,5424,27057,43282,71.79
MoonPug,$INUSPARK,2023-01-18,addr787,0.0002,208125,24897,168925503,291403695,-5.89,0.0034,0.0024,9461,36496,16189,41.67
WoofSol,$PEPEMOON,2022-12-15,addr537,0.0029,441633,18359,135891116,150689202,11.01,0.0125,0.0087,12058,22318,60546,43.68
MoonPug,$DOGESUN,2023-02-12,addr167,0.0023,168250,12182,160316605,224317092,11.97,0.0148,0.0065,7268,24796,47317,127.69
InuSpark,$WOOFSOL,2023-06-15,addr218,0.0007,465552,8662,80449544,247584426,-0.85,0.0073,0.0011,6911,25839,71432,563.64
LOLToken,$DOGESUN,2023-09-05,addr202,0.0073,371736,27373,50392543,187419137,14.7,0.0121,0.0024,3948,36481,17116,404.17
SolDog,$MOONPUG,2023-04-10,addr813,0.0021,452242,27356,131162624,194087523,-1.73,0.019,0.0014,11555,14234,49021,1257.14
MeowInu,$PUGINU,2022-04-22,addr301,0.007,463162,9078,64888840,89879272,-7.39,0.0102,0.0043,9269,22773,91462,137.21
WoofSol,$MOONPUG,2023-08-20,addr789,0.0046,269567,10305,182869622,149477703,2.51,0.0114,0.0011,12450,48243,51505,936.36
WoofSol,$JOKESOL,2023-04-10,addr839,0.0016,415663,23253,85281323,228896517,2.36,0.0068,0.0098,13054,45531,90728,-30.61
LOLToken,$CHEEMS,2023-05-20,addr985,0.0027,200098,9987,143850758,270845649,-1.34,0.0193,0.0093,6280,11886,73140,107.53
PepeMoon,$PEPEMOON,2022-11-20,addr275,0.0095,359103,27267,79082042,221271274,17.33,0.0119,0.0041,8795,39748,36281,190.24
FlokiSol,$MOONPUG,2023-08-01,addr689,0.0099,289776,35017,182569063,241791972,14.35,0.0151,0.0081,7920,34245,41416,86.42
ShibaSol,$SWOLEDOGE,2023-04-10,addr999,0.0025,225677,30989,62617147,92156985,3.34,0.0118,0.0045,11181,42158,60333,162.22
InuSpark,$MEMEFLARE,2023-03-14,addr368,0.0048,479442,36390,144548889,206917978,15.26,0.0156,0.0092,11928,40079,50598,69.57
MoonPug,$SOLDOG,2023-07-10,addr255,0.0037,475232,18796,124633558,56580325,-7.17,0.0167,0.0067,3769,19929,55919,149.25
GiggleToken,$SHIBA,2023-03-14,addr520,0.0007,314988,24613,52361379,84777310,-8.62,0.0162,0.0065,5091,11647,56502,149.23
MoonWag,$PUGINU,2023-02-12,addr105,0.0089,113666,34871,113931395,143020826,11.31,0.0156,0.0058,11632,41607,24317,168.97
SwoleDoge,$JOKESOL,2023-06-15,addr332,0.0062,357437,23666,96938057,115284170,-9.6,0.0188,0.0011,8264,49093,17584,1609.09
MoonWag,$PEPE,2023-03-14,addr498,0.0059,76894,14416,135202522,63441291,-3.89,0.0112,0.007,6441,29072,13409,60.0
GiggleToken,$LOL,2023-02-12,addr155,0.0005,332450,44328,94876482,140849947,-1.06,0.0047,0.0041,6812,24238,67447,14.63
DogeSun,$MEOW,2023-03-30,addr982,0.004,82569,47248,71947904,160739671,9.95,0.0111,0.0028,4427,5484,13156,296.43
WoofSol,$PUGINU,2023-03-14,addr842,0.0087,66107,19644,147695656,268871499,-7.92,0.0063,0.0084,3714,6080,77145,-25.0
PugInu,$PUGINU,2023-06-15,addr209,0.0067,140118,43826,80960670,75825003,14.57,0.0167,0.0098,5460,29982,15361,70.41
JokeSol,$INUSPARK,2022-08-15,addr301,0.0008,430482,45490,170252176,186848560,-7.87,0.0174,0.0046,5615,45705,49244,278.26
PugInu,$INUSPARK,2022-09-10,addr319,0.0097,316612,39690,101611805,129135942,17.28,0.0162,0.0007,5174,18022,87718,2214.29
MeowInu,$GIGGLE,2022-12-15,addr615,0.0077,485780,42011,51712293,78160915,-9.81,0.0131,0.0096,8115,34414,19595,36.46
SwoleDoge,$PEPEMOON,2023-08-01,addr439,0.0087,198177,13539,185756324,254528935,16.54,0.0161,0.0056,9180,7255,48581,187.5
PepeSol,$SHIBA,2023-03-30,addr962,0.0085,346524,38692,63994312,171781585,-1.18,0.0066,0.0086,8238,28692,47664,-23.26
MeowInu,$CHEEMS,2023-04-10,addr696,0.0021,403200,46812,83765988,83395723,6.52,0.0112,0.0073,5872,30633,61599,53.42
MeowInu,$SOLDOG,2023-02-12,addr845,0.0004,154787,47246,113753583,53155941,-3.78,0.002,0.0001,5421,22698,81912,1900.0
WoofSol,$SHIBALIGHT,2022-08-15,addr435,0.0015,71271,27608,103412250,105926439,-7.36,0.0148,0.0091,4847,35469,64390,62.64
PepeSol,$SHIBA,2023-05-20,addr78,0.0047,362110,27895,87252709,216885227,16.62,0.0186,0.0075,5542,5396,18984,148.0
GiggleToken,$LOL,2023-07-10,addr486,0.0054,491991,9441,164519997,205256433,12.75,0.0188,0.0031,4577,33924,23887,506.45
InuSpark,$MOONWAG,2023-07-10,addr688,0.0086,283306,13804,179622577,296005715,4.0,0.0141,0.0097,6635,25839,49336,45.36
FlokiSol,$SWOLEDOGE,2022-06-25,addr6,0.0092,421302,40014,64731420,62295391,2.2,0.0073,0.0084,14952,26390,83800,-13.1
SolCheems,$MEOW,2022-04-22,addr334,0.0058,62778,15945,196472179,180484873,-3.14,0.0049,0.0039,7531,7164,25562,25.64
SolCheems,$CHEEMS,2023-02-12,addr540,0.0057,300203,7113,148716621,155276516,15.85,0.0038,0.0022,4289,27165,18064,72.73
ChadCoin,$DOGESUN,2022-06-25,addr483,0.0023,402018,25834,66196540,121746556,-1.08,0.0116,0.003,12587,13037,57271,286.67
SwoleDoge,$PEPEMOON,2022-08-15,addr557,0.0036,409789,44044,114230843,239789173,19.5,0.0014,0.0033,7620,44212,84786,-57.58
InuSpark,$PEPEMOON,2022-08-15,addr856,0.0062,288611,35566,64260022,216044966,19.5,0.0196,0.0009,7783,42815,28678,2077.78
SwoleDoge,$PEPEMOON,2023-09-05,addr686,0.0026,293200,11890,145371737,292826586,16.9,0.0111,0.0029,12040,40688,63115,282.76
PepeSol,$INUSPARK,2023-02-12,addr578,0.0063,66596,15630,69842066,99082273,-5.22,0.0056,0.0024,3700,21956,16048,133.33
MeowInu,$INUSPARK,2023-07-10,addr24,0.002,300807,36765,87022397,173856140,-2.54,0.011,0.0048,11081,41690,98105,129.17
ShibaSol,$SHIBA,2023-03-14,addr718,0.0005,132303,19470,147781653,286653223,-9.22,0.014,0.0047,9888,38239,39936,197.87
ShibaLight,$JOKESOL,2023-06-15,addr14,0.0061,189113,23399,95346855,267070838,5.92,0.0086,0.0017,9842,5364,82875,405.88
MeowInu,$SHIBA,2023-03-30,addr879,0.009,79644,7087,123626628,128526358,7.56,0.0196,0.0074,6478,34404,24186,164.86
ShibaLight,$SWOLEDOGE,2022-11-20,addr796,0.0031,346206,32581,75312326,298442070,-4.25,0.0161,0.0068,5552,8882,33929,136.76
SolDog,$CHAD,2022-06-25,addr285,0.0028,92003,13437,192291003,260853673,9.59,0.0091,0.0056,3580,43786,77387,62.5
PepeSol,$DOGESUN,2023-06-15,addr335,0.0096,90031,36460,55455042,81353168,5.95,0.0076,0.0075,13853,39146,14982,1.33
SolDog,$PEPEMOON,2023-07-10,addr968,0.0003,148777,46635,152664200,65997638,-7.32,0.0164,0.0028,7667,49913,13708,485.71
SwoleDoge,$CHAD,2022-11-20,addr558,0.0096,178511,31781,197325836,231734210,-9.4,0.0145,0.0011,6995,34663,55041,1218.18
LOLToken,$SHIBALIGHT,2023-08-01,addr56,0.0046,352009,28069,172785112,264971589,-2.27,0.0035,0.0076,14350,13137,97567,-53.95
SolCheems,$LOL,2023-08-01,addr487,0.0011,179783,22251,84962433,55183638,-9.18,0.0193,0.0031,5242,18703,18865,522.58
PugInu,$WOOFSOL,2023-07-10,addr104,0.0074,479766,15800,118215986,218509929,0.24,0.0056,0.001,8922,9841,63760,460.0
MemeFlare,$SOLDOG,2022-12-15,addr553,0.0063,478426,11822,97707636,256181907,-1.31,0.006,0.0056,5269,34072,31596,7.14
MoonWag,$GIGGLE,2023-04-10,addr441,0.0049,124703,46913,58108235,90759326,12.48,0.0118,0.0083,8332,49315,67741,42.17
SolCheems,$MOONWAG,2022-09-10,addr474,0.0089,99178,43150,190163912,88533695,11.41,0.0079,0.0099,14272,47900,23110,-20.2
PugInu,$LOL,2023-04-10,addr50,0.0044,329877,10773,196070189,92198168,2.25,0.0126,0.0082,7040,29909,25443,53.66
ChadCoin,$PEPE,2023-02-12,addr680,0.0069,321561,12776,170063566,155113617,-3.63,0.0152,0.0013,10272,32756,16632,1069.23
GiggleToken,$SHIBALIGHT,2023-06-15,addr221,0.0065,221210,15874,118751014,111828526,-5.68,0.0046,0.0024,10230,39703,43046,91.67
WoofSol,$SOLDOG,2023-06-15,addr505,0.0061,496748,22642,194002162,245876985,0.56,0.0068,0.0004,12337,11970,54675,1600.0
InuSpark,$MEOW,2023-01-05,addr574,0.0068,169115,37953,79457921,198425137,0.31,0.0153,0.0057,6090,14922,94164,168.42
SwoleDoge,$SHIBA,2023-09-05,addr819,0.0048,398411,15913,162638049,298012575,5.56,0.0149,0.0027,3959,27950,92410,451.85
MeowInu,$CHAD,2023-07-10,addr119,0.0036,54804,7773,142914710,260288220,-2.94,0.0032,0.0057,6268,13289,88658,-43.86
SolCheems,$FLOKI,2022-11-20,addr37,0.0061,437679,13355,117022528,262949887,17.18,0.0061,0.0087,10961,29626,58718,-29.89
SwoleDoge,$PEPEMOON,2021-04-05,addr962,0.0074,263957,38291,57844000,101903830,13.81,0.0169,0.0062,12503,14068,43570,172.58
LOLToken,$PEPEMOON,2023-01-18,addr285,0.0084,213088,46171,72191980,242550474,15.31,0.004,0.0039,11506,16468,60713,2.56
PepeSol,$LOL,2023-05-20,addr611,0.0007,325616,7171,199649713,156921194,14.97,0.0135,0.0019,14335,49823,81967,610.53
GiggleToken,$WOOFSOL,2023-03-30,addr681,0.0011,377254,47961,96890674,167059777,3.32,0.013,0.0084,5422,27969,24138,54.76
JokeSol,$GIGGLE,2023-03-14,addr531,0.0025,169266,24436,96046342,71634563,16.85,0.0115,0.0009,4526,11582,84627,1177.78
GiggleToken,$GIGGLE,2022-06-25,addr181,0.0003,495855,33796,101433246,119578829,9.45,0.0034,0.0065,3407,14742,43110,-47.69
SolCheems,$SHIBALIGHT,2023-05-20,addr471,0.0025,470298,43766,159961035,173650862,17.09,0.0016,0.0076,11548,26775,28702,-78.95
WoofSol,$MOONWAG,2023-03-30,addr58,0.0083,299319,6943,193644404,132162456,5.39,0.0172,0.0029,8654,14590,76903,493.1
GiggleToken,$GIGGLE,2022-04-22,addr542,0.0023,100949,44791,111292656,175880117,12.12,0.0186,0.0099,9667,22607,88870,87.88
ChadCoin,$FLOKI,2023-03-14,addr927,0.0006,336974,35674,89960335,242593688,9.6,0.013,0.0086,8346,46509,76909,51.16
SwoleDoge,$JOKESOL,2023-02-12,addr282,0.0084,68029,10239,70170301,120111529,17.69,0.0161,0.0084,7290,27311,44834,91.67
LOLToken,$SHIBALIGHT,2023-05-20,addr379,0.0007,119019,17985,187196437,266957623,2.79,0.0154,0.0018,7002,37339,18710,755.56
MemeFlare,$WOOFSOL,2023-07-10,addr166,0.0016,328852,44535,120060835,121468006,4.89,0.0168,0.0039,14442,31665,99187,330.77
ShibaSol,$PEPEMOON,2022-08-15,addr325,0.0055,322587,21036,79446419,138167139,11.61,0.0047,0.0034,5631,31546,72687,38.24
MoonWag,$PUGINU,2023-08-01,addr162,0.0086,361401,24284,198327529,62358267,1.5,0.0121,0.0062,10628,41241,53120,95.16
PepeSol,$LOL,2023-05-20,addr873,0.0074,258160,33668,64114146,74294228,14.21,0.0094,0.0042,5506,44908,76614,123.81
JokeSol,$SHIBA,2023-08-01,addr554,0.0006,287833,37004,68763980,53572443,18.7,0.0136,0.0065,11176,16127,75326,109.23
SolCheems,$MEMEFLARE,2023-08-01,addr280,0.0088,202090,28069,126073402,135889146,14.31,0.0068,0.0002,9279,29733,93185,3300.0
GiggleToken,$GIGGLE,2023-08-20,addr732,0.0096,258767,39658,88083435,110693130,-1.06,0.0039,0.0055,12650,49515,61322,-29.09
FlokiSol,$SOLDOG,2022-09-10,addr876,0.0051,288951,15195,154329470,54522360,17.93,0.0101,0.0069,13577,6226,87725,46.38
ShibaLight,$CHEEMS,2022-08-15,addr514,0.0047,148223,47546,151939612,294475832,0.54,0.0079,0.0081,10351,37926,97056,-2.47
MeowInu,$CHEEMS,2023-08-20,addr791,0.0079,67569,13731,150270297,201335164,1.5,0.009,0.0085,8807,30351,53341,5.88
InuSpark,$PEPEMOON,2023-09-05,addr472,0.0083,275288,36507,97679179,166378275,7.13,0.0092,0.0005,7353,19352,83524,1740.0
MoonPug,$PEPE,2023-06-15,addr779,0.0055,82065,11847,134818432,288640358,18.01,0.012,0.0023,11130,36151,78858,421.74
